分類方式,類別代號,類別名稱
分類一,0005,0123
分類一,001,币别
分類一,002,反反复复
分類一,003,bbb
分類一,023,023
分類一,0241,0001
分類一,3,3
分類一,AD,AD
分類一,AIR,工業式機器設備
分類一,AP,無線基地台類
分類一,BBP,條碼列印機類
分類一,BHT,條碼盤點機類
分類一,BPA,條碼紙類
分類一,BRD,條碼掃瞄器類
分類一,BRI,條碼碳帶類
分類一,C,線材類
分類一,CCR,刷卡晶片讀卡機類
分類一,df,看看啦啦啦啦
分類一,dfg,df
分類一,DSF,FDG
分類一,EAP,ESL無線終端設備
分類一,EL,其他
分類一,ELZZ,測試
分類一,EM,電子材料類
分類一,EPA,ESL耗材類
分類一,f,
分類一,fg,dfgdf
分類一,fh,dfg
分類一,lop,012
分類一,PPC,電腦主機類
分類一,PTL,平板電腦
分類一,RBP,RF列印機類
分類一,REL,RFID其它類
分類一,ret,dsf
分類一,RHT,RF盤點機類
分類一,RPA,RF耗材類
分類一,RRD,RF掃瞄器類
分類一,rt,rty
分類一,rt5,rty
分類一,sdf,df
分類一,SO,軟體(內部開發)
分類一,SW,軟體(外購軟體)
分類二,001,反复
分類二,PPT,簡報
分類三,001,阿三
分類三,003,001
分類三,EPS,EPS
分類三,PLA,平板
分類三,SER,�A�
分類四,001,升水
