品號,品名,規格,單位,類別一,類別二,類別三,類別四,供應商ID,序號管理,商品描述, 品牌
BBPA03OS214-01                          ,ARGOX OS214 Printer,,台　,BBP,001,,,,Y,含Printer Cable.線捲.碳帶.   24V2.91A+電源線,A03
BBPB06SLPTX400E-01                      ,BIXOLON SLP-TX400E Ethernet 200dpi 條碼列印機,,台,BBP,001,,,102,Y,下單給原廠用此品號品名改成: AIDA P1128T (200dpi)Desktop Printer (Ethernet & USB interface),B06
BBPB06SPPR200-01                        ,BIXOLON SPP-R200IIBG 2" Bluetooth 掌上型條碼列印機,,台,BBP,001,,,102,Y,ＳＰＰ－Ｒ２００ＩＩＢＧ／ＲＳＳ－顺风快递其他客户为　ＳＰＰ－Ｒ２００ＩＩＢＧ／ＲＳＴ　,B06
BBPB06SPPR200-02                        ,BIXOLON SPP-R200IIiGML 2" Bluetooth 掌上型條碼列印機,,台,BBP,001,,,102,Y,,B06
BBPB06SPPR200-03                        ,BIXOLON SPP-R200IIWG 2" WiFi 掌上型條碼列印機,,台,BBP,001,,,102,Y,,B06
BBPB06SPPR300-01                        ,BIXOLON SPP-R300BK 3" Bluetooth 掌上型條碼列印機,,台,BBP,001,,,102,Y,出貨時請原廠安裝最新的分位版本.(V031313)+ 16x16 font +,B06
BBPB06SPPR300-01C                       ,BIXOLON SPP-R300BK 3" Bluetooth 掌上型條碼列印機,,台,BBP,001,,,102,Y,For 一元化案修改,B06
BBPB06SPPR300-02                        ,BIXOLON SPP-R300WK/STD 3" WiFi 掌上型條碼列印機,,台,BBP,001,,,102,Y,,B06
BBPB06SRP350PLUSIII-02                  ,BIXOLON SRP-350PlusIII COSG 條碼列印機,,台,BBP,001,,,102,Y,含電源線及手冊,B06
BBPC02M220-01                           ,M220 Mobile Printer,,台,BBP,001,M00,,,Y,改為M230,C02
BBPC02M230-01                           ,M230B Mobile Printer,,台,BBP,001,M00,,,Y,舊款為M220主板.印字頭.馬達不同.M230 BT on Board.M220是另加模組外殼有稍做修改.故上下殼必需同為新或舊保固1年,C02
BBPD08CL600S-01                         ,DNP CL-600S 單面雷射護膜機,,台,BBP,001,,,111,Y,需搭配CX-D80D印卡機 (RBPD08CXD80D-01),D08
BBPE12TMC3400-01                        ,EPSON TM-C3400 噴墨式彩色標籤印表機-USB介面,,台,BBP,001,,,,Y,含全新墨水匣*1,E12
BBPE12TMC3510-01                        ,EPSON TM-C3510 噴墨式彩色標籤印表機,,台,BBP,001,,,202,Y,P/N#TM-C3510-041含全新墨水匣*1配件含:方頭USB傳輸線4色墨水各1MAINTENANCE BOX(C33S020580)AD(42V 1.38A)(C43003169)紙管.手冊.CD**電源線需自購C-ERG-01.原廠沒附.,E12
BBPJ01J110I-01                          ,JAVELIN J110i Card printer (印單面),,台,BBP,001,,BG,107,Y,,J01
BBPJ01J200I-01                          ,JAVELIN J200i 彩色製卡機--手動單面 (Manual feed.Single side),,台,BBP,001,,,107,Y,彩色單面,J01
BBPJ01J230I-01                          ,JAVELIN J230i 單面彩色製卡機 Card printer,(Manual/Auto feed.Single side),台,BBP,001,,,107,Y,彩色單面,J01
BBPJ01J230I-02                          ,JAVELIN J230i 雙面彩色製卡機 Card printer,Auto&Manual Feed. Dual-side,台,BBP,001,,,107,Y,彩色雙面,J01
BBPJ01J330I-01                          ,JAVELIN J330i Card printer (SINGLE-SIDE),,台,BBP,001,,,107,Y,USB介面連接埠/彩色單面,J01
BBPJ01J430I-01                          ,JAVELIN J430i Card printer (double side),,台,BBP,001,,,107,Y,彩色雙面,J01
BBPP01T5306R-01                         ,PRINTRONIX T5306r 條碼列印機,,台,BBP,001,,,200,Y,可另外option RFID upgrade kit即可升級成 SL5000r (有RFID功能),P01
BBPP02MP300BT-01                        ,PARTNER MP-300BT Mobile Printer,MP-300,台,BBP,001,,,104,Y,,P02
BBPP02RP300H-01                         ,已停產-PARTNER RP-300-H Receipt Printer-RS232 (黑色),,台,BBP,001,,,104,Y,RS232介面.黑色改為RP-320紙張厚度限制:0.06-0.09mm,P02
BBPP02RP300H-02                         ,已停產-PARTNER RP-300-H Receipt Printer-Parallel (黑色),,台,BBP,001,,,104,Y,Parallel介面.黑色改為RP-320*紙張厚度限制:0.06-0.09mm,P02
BBPP02RP320-01                          ,快停產-PARTNER RP-320 Receipt Printer -USB+SERIAL,,台,BBP,001,,,104,Y,紙張厚度限制:0.06~0.09mm*最後下單日為2014/01/31.而維修可再提供2年.故最後維修日為2016/04/30後續替代機種為RP-330,P02
BBPP02RP600-01                          ,PARTNER RP-600 Receipt Printer --USB+Serial介面,=P1226D,台,BBP,001,,,105,Y,合庫配件含1.25公-9母 傳輸線(C-RRG-04B)2.USB 傳輸線(C-URG-02)3.AD(24V 2.15A)+3插3孔電源線4.紙張檔板5.墊片*2FOR 合庫案整機保固3年.含印字頭後續訂購線材2擇1.檔板加錢購買.Made in China.,P02
BBPP02TP7688-01                         ,PARTNER TP-7688二聯式發票印表機,,台,BBP,001,,,104,Y,,P02
BBPR014008PIM-01                        ,RING 4008PIM PRINTER (RS232 + Parallel I/F),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014008PMH-01                        ,RING 4008 PMH PRINTER(110V~220V),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIH-01                        ,RING 4012PIH 條碼標籤列印機 (RS232+ Parallel I/F),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIH-03                        ,RING 4012PIH with 4MB Flash 條碼標籤列印機 (長庚用),,台,BBP,001,M00,BPM,103,Y,FP284712,R01
BBPR014012PIH-04                        ,RING 4012PIH 條碼標籤列印機 USB介面,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIH-05                        ,RING 4012PIH 條碼標籤列印機 (RS232+ Parallel I/F) NEW TYPE,,台,BBP,001,M00,BPM,103,Y,**2014.03起為新機構,R01
BBPR014012PIM-02                        ,RING 4012PIM條碼標籤列印機 (Parallel I/F),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIM-03                        ,RING 4012PIM條碼標籤列印機 (RS232+USB I/F),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIM-04                        ,RING 4012PIM條碼標籤列印機110V~220V (含黑麥偵測器),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PIM-05                        ,RING 4012PIM條碼標籤列印機 (Parallel I/F) NEW TYPE,,台,BBP,001,M00,BPM,103,Y,**2014.03起為新機構20141217-原安全庫存30.暫調60(因需備PIM&PLM+合併的量),R01
BBPR014012PL-01                         ,已停產-RING 4012PL 條碼列印機,停產，替代機種 4012PIM or 4012PLM+,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PLM+-01                       ,RING 4012PLM+條碼標籤列印機110V~220V (RS232+Parallel I/F),,台,BBP,001,M00,BPM,103,Y,Flash 4MB為選配.與4012PIM類似,R01
BBPR014012PLM+-02                       ,RING 4012PLM+條碼標籤列印機 (USB+RS-232),,台,BBP,001,M00,BPM,103,Y,Flash 4MB為選配.與4012PIM類似,R01
BBPR014012PLM+-03                       ,RING 4012PLM+條碼標籤列印機110V~220V (RS232+Parallel I/F) NEW TYPE,,台,BBP,001,M00,BPM,103,Y,Flash 4MB為選配.與4012PIM類似**2014.3起為新機構*預計用4012PIM取代.20141205安全庫存30→5(低於5通知MAY)*20141217安全庫存5→2(可以BY單訂購)**20150324 MAY MAIL公告停止銷售安全庫存2→0(如有專案需求請提早二個月前下採/訂購單),R01
BBPR014012PLM+-04                       ,RING 4012PLM+ 條碼標籤列印機110V~220V (RS232+Parallel I/F) (含黑麥偵測器),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PMH-01                        ,RING 4012PMH 條碼標籤列印機 (RS-232+Parallel I/F),,台,BBP,001,M00,BPM,103,Y,4012PMH E870使用條件 U20 Version is"ATG037C”1.Set"Eng f1" set "0008".2.pin 2 of DS1 to on,R01
BBPR014012PMH-02                        ,RING 4012PMH 條碼標籤列印機 110~220V共用,長庚用會加裝螺旋切刀,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014012PMH-03                        ,RING 4012PMH with 4AA,此台加裝自動貼,台,BBP,001,M00,BG,103,Y,,R01
BBPR014012PMH-05                        ,RING 4012PMH 條碼標籤列印機 (RS-232+USB介面),,台,BBP,001,M00,BPM,103,Y,4012PMH E870使用條件 U20 Version is"ATG037C”1.Set"Eng f1" set "0008".2.pin 2 of DS1 to on,R01
BBPR014012PMH-08                        ,RING 4012PMH 條碼標籤列印機 (RS-232+Parallel I/F) (New Type),,台,BBP,001,M00,BPM,103,Y,20131231-與-01款機構差異詳見附件檔,R01
BBPR014016PIH-01                        ,RING 4016PIH條碼標籤列印機 110-220V共用,,台,BBP,001,M00,BPM,103,Y,*20160518-因價目表上沒有.移除,R01
BBPR014016PMH-01                        ,RING 4016PMH 條碼標籤列印機 110-220V共用 (RS-232+PARALLEL),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014016PMH-02                        ,RING 4016PMH 條碼標籤列印機 110-220V共用 (RS-232+USB),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR014024PIH-01                        ,RING 4024PIH 條碼標籤列印機 110-220V共用,,台,BBP,001,M00,BPM,103,Y,20141205安全庫存1→0,R01
BBPR014024PIM-01                        ,RING 4024PIM條碼標籤列印機110V~220V,,台,BBP,001,M00,,103,Y,,R01
BBPR014024PMH-01                        ,RING 4024PMH 條碼標籤列印機 (RS232+ Parallel I/F),,台,BBP,001,M00,BPM,103,Y,E870搭TDK印字頭,R01
BBPR014024PMH-02                        ,RING 4024PMH 條碼標籤列印機 (E870機板搭TOSHIBA印字頭),,台,BBP,001,M00,BPM,103,Y,E870搭TOSHIBA印字頭20130801 Hawk與Suzuki 協議為帝商客製.1台價格(without elementcheck function),R01
BBPR01408MA-01                          ,RING 408MA air jet 自動貼標機 203DPI,,台,BBP,001,M00,BG,103,Y,,R01
BBPR01408MA-02                          ,RING 408MA press type 自動貼標機 203DPI,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01408MA-03                          ,RING 408MA airjet type 自動貼標機 203 dpi,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01408PE+-01                         ,RING408PE+ 200dpi THERMAL TRANSFER PRINTER,,台,BBP,001,M00,,103,Y,,R01
BBPR01408PEL+-01                        ,RING408PEL+ 200dpi THERMAL TRANSFER PRINTER,,台,BBP,001,M00,,103,Y,,R01
BBPR01412MA-03                          ,RING 412MA 氣噴式自動貼標機 (結合控制箱跟自動貼),,台,BBP,001,M00,BPM,103,Y,氣噴式.標準PAD(多孔),R01
BBPR01412MA-04                          ,RING 412MA 自動貼標機 4" 300PI(旋臂式),,台,BBP,001,M00,BPM,103,Y,群創用A type: 左向B type: 右向,R01
BBPR01412MA-05                          ,RING 412MA 自動貼標機 4" 300PI(推臂式),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01412MA-06                          ,RING 412MA 自動貼標機 4" 300PI press type(推背式),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01412MC-01                          ,RING 412MC(2) color printer 兩色條碼機,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01412MC-02                          ,RING 412MC(4) color printer 四色條碼機,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01412PE+-01                         ,RING412PE+ 300dpi THERMAL TRANSFER PRINTER,,台,BBP,001,M00,,103,Y,BC011 P/N#C-EZ1300P            (EZ-1300P Printer),R01
BBPR01412TP-03                          ,RING 412TP 雙層條碼機(鈑金外殼),,台,BBP,001,M00,,,Y,,R01
BBPR01412TP-05                          ,RING 412TP 雙層條碼機 + 直切式切刀 (日製),,台,BBP,001,M00,BG,103,Y,原廠內裝+台製外殼,R01
BBPR01424MA-01                          ,RING 424MA 自動貼標機 4" 600PI(推臂式),,台,BBP,001,,,103,Y,,R01
BBPR01424MA-02                          ,RING 424MA with cutter 自動貼標機 4" 600PI(推臂式),,台,BBP,001,,,103,Y,,R01
BBPR01424MC-01                          ,RING 424MC(4) color printer 四色條碼機,,台,BBP,001,,,103,Y,,R01
BBPR015012PIH-01                        ,RING 5012PIH 條碼標籤列印機,,台,BBP,001,M00,BPM,103,Y,原廠回覆面板上方不會有名稱貼紙.,R01
BBPR015012PMX-01                        ,RING 5012PMX 條碼標籤列印機,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01508MA-01                          ,RING 508MA 推臂式自動貼標機 5" 203DPI Press type,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01512MA-01                          ,RING 512MA Press Type Printer (300dpi),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR018012PMH-01                        ,RING8012PMH 條碼標籤列印機,,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01812MA-01                          ,RING 812MA 自動貼標機 press type(推臂式),,台,BBP,001,M00,BPM,103,Y,,R01
BBPR01812MC-01                          ,RING 812MC(2) color printer 兩色條碼機,,台,BBP,001,,,103,Y,,R01
BBPR01BC12WMS-01                        ,RING BC-12WMS printer,,台,BBP,001,M00,,103,Y,,R01
BBPR02412ST-01                          ,AIDA 412ST 條碼標籤機,2013年版,台,BBP,001,M00,,,Y,FOR 郵務特製規格2013年出貨內含切刀*機芯機構保固期:2年*印表頭保固期:6個月或50KM(取先到者).人為操作不當,R02
BBPR02412ST-02                          ,AIDA 412ST 條碼標籤機,2015年版,台,BBP,001,M00,,,Y,FOR 郵務特製規格2015年出貨內含切刀*機芯機構保固期:2年*印表頭保固期:6個月或50KM(取先到者).人為操作不當,R02
BBPS01CG408TT-01                        ,SATO CG408TT USB+PARALLEL PRINTER with RoHs EX2,,台,BBP,001,M00,,106,Y,,S01
BBPS01CL408E-01                         ,SATO CL408E 條碼列印機,,台,BBP,001,M00,,106,Y,WWC408002,S01
BBPS01CL412E-01                         ,SATO CL412E 條碼標籤列印機 4" 300dpi,,台,BBP,001,M00,,106,Y,,S01
BBPS01CL412E-02                         ,SATO CL412E 條碼標籤列印機 4" 300dpi + Parallel Interface,,台,BBP,001,M00,,106,Y,,S01
