廠商代號,廠商簡稱,廠商全名,交易必別,營業稅率,聯絡人,電話,傳真,email,簡稱,地址
101       ,佳佳工業,佳佳工業股份有限公司,NT$,5,畢忠明,03-5239890,,,03-5239898,月結60 天
102       ,維康工業,維康工業股份有限公司,NT$,5,劉嘉玲,,,,,
103       ,鼎力實業,鼎力實業,NT$,5,陳大居,04-23458962,04-23458965,POWER122@ms56.hinet.net,,
104       ,佳禾工業,佳禾工業股份有限公司,NT$,5,林亞明,,,,,
105       ,南亞皮革,南亞皮革股份有限公司,NT$,5,,,,,,
106       ,總合泡棉,總合泡棉股份有限公司,NT$,5,,,,,,
107       ,成成五金,成成五金,NT$,5,王五,04-3267345,,,,期票30天
110       ,潔寶企業,潔寶企業股份有限公司,NT$,5,莊美惠,,,,,
111       ,元技工業,元技工業股份,NT$,5,,02-2278919,,,,月結60天
200       ,嘉力工業,嘉力工業股份有限公司,NT$,5,張秀珠,,,,,
201       ,開南工業,開南工業股份有限公司,NT$,5,張秀珠,,,,,
202       ,群雄工業,群雄工業股東,NT$,5,,,,,,
203       ,鴻福電鍍廠,鴻福電鍍廠有限公司,NT$,5,,,,,,結帳後30天付款
204       ,大友熱處理,大友熱處理公司,NT$,5,,,,,,
205       ,昀建,昀建工業股份有限公司,NT$,5,,0229176156,0229176157,test@dsc.com.tw,0229172699,
301       ,開南報關行,開南報關行,NT$,5,林立山,,,,,月結
AC001     ,台北帝商,帝商科技股份有限公司,US$,5,Genie Irene,886-2-22281000,886-2-22287070,,,30天
AC002     ,台北帝商,帝商科技股份有限公司,NTD,5,Genie Irene,886-2-22281000,886-2-22287070,,,付現
BO001     ,金手指房地產,蘇州金手指房地產,RMB,5,,,,,,付現
BY001     ,現金購,現金購,RMB,5,,,,,,付現
BY002     ,中國電信,中國電信（移動電話費/固定電話費/網絡費),RMB,5,,,,,,
