品號,序號,廠商代號,進貨日期,單號
BBPA03OS214-01                          ,90822402                      ,101,20091001,341-20091001005-0001
BBPB06SLPD220-01                        ,RSTPYKA13010001               ,102,20130121,344-20130121001-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040001               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040002               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040003               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040004               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040005               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040006               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040007               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040008               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040009               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040010               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040011               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040012               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040013               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040014               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040015               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040016               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040017               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040018               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040019               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040020               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040021               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040022               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040023               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040024               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040025               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040026               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040027               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040028               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040029               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040030               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040031               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040032               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040033               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040034               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040035               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040036               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040037               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040038               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040039               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040040               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040041               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040042               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040043               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040044               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040045               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040046               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040047               ,102,20130430,344-20130430005-0001
BBPB06SLPTX400E-01                      ,RSAVWKA13040048               ,102,20130430,344-20130430005-0001
